,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
1324,Undergraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
1325,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Emerging customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1326,Postgraduate,In couple,No child,No child,Need attention,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1327,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1328,Postgraduate,Alone,No child,No child,Need attention,Adult,Low income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
1329,Postgraduate,In couple,No child,No child,High potential,Senior,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1330,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1331,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer
1332,Postgraduate,In couple,Has child,1 child,High potential,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1333,Postgraduate,Alone,No child,No child,High potential,Senior,High income,Discovering customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1334,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Old customers,Frequent consumer,Non consumer,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer
1335,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1336,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1337,Postgraduate,In couple,No child,No child,Need attention,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1338,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Low consumer
1339,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1340,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1341,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
1342,Postgraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1343,Postgraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1344,Undergraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer,Low consumer
1345,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1346,Undergraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
1347,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1348,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1349,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
1350,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer
1351,Postgraduate,Alone,No child,No child,High potential,Young,High income,Discovering customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1352,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1353,Postgraduate,In couple,Has child,1 child,High potential,Mature,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1354,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1355,Postgraduate,Alone,Has child,1 child,Stars,Mature,High income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1356,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Emerging customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1357,Postgraduate,Alone,No child,No child,High potential,Senior,Medium to high income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1358,Postgraduate,Alone,No child,No child,High potential,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1359,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1360,Postgraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1361,Undergraduate,In couple,Has child,1 child,Need attention,Young,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1362,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1363,Undergraduate,In couple,No child,No child,Stars,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
1364,Undergraduate,Alone,Has child,1 child,High potential,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1365,Postgraduate,Alone,Has child,1 child,Stars,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1366,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1367,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1368,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1369,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1370,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1371,Undergraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
1372,Postgraduate,Alone,Has child,3 children,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1373,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1374,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1375,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1376,Postgraduate,Alone,Has child,3 children,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1377,Postgraduate,In couple,Has child,1 child,Need attention,Young,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer,Frequent consumer
1378,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Medium to high income,Emerging customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1380,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1381,Undergraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1384,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1385,Postgraduate,In couple,No child,No child,High potential,Senior,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1387,Undergraduate,In couple,Has child,2 children,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
1388,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1389,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1390,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1391,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1392,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1393,Undergraduate,Alone,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1394,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
1395,Postgraduate,In couple,Has child,2 children,High potential,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1396,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1397,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
1398,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1399,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Biggest consumer
1400,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1401,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1402,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1403,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1404,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1405,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1406,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1407,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1408,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1409,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1410,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1411,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
1412,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1413,Postgraduate,In couple,No child,No child,High potential,Senior,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1414,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1415,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1416,Undergraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1417,Postgraduate,In couple,No child,No child,Need attention,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1418,Postgraduate,In couple,Has child,3 children,Need attention,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1419,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
1420,Postgraduate,In couple,Has child,3 children,Need attention,Adult,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
1421,Undergraduate,Alone,No child,No child,High potential,Adult,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1422,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1423,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1424,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1425,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1426,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1427,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1428,Undergraduate,Alone,Has child,2 children,Need attention,Mature,Low to medium income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1429,Postgraduate,Alone,No child,No child,Leaky bucket,Adult,Low income,Emerging customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
1430,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
1431,Undergraduate,Alone,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
1432,Postgraduate,In couple,No child,No child,High potential,Young,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1433,Postgraduate,Alone,Has child,2 children,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1434,Postgraduate,Alone,Has child,2 children,High potential,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Biggest consumer,Low consumer
1435,Undergraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer
1436,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1437,Undergraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1438,Postgraduate,In couple,No child,No child,Need attention,Mature,Low to medium income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
1439,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1440,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1441,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1442,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1443,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1444,Postgraduate,In couple,No child,No child,High potential,Senior,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1445,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Low consumer
1446,Undergraduate,In couple,No child,No child,Stars,Adult,High income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1447,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1448,Postgraduate,In couple,No child,No child,High potential,Adult,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1449,Undergraduate,In couple,Has child,1 child,High potential,Adult,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1450,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1451,Postgraduate,In couple,No child,No child,High potential,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1452,Postgraduate,Alone,No child,No child,High potential,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer
1453,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
1454,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
1455,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1456,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1457,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1458,Postgraduate,Alone,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1459,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1460,Postgraduate,Alone,Has child,1 child,High potential,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1461,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1462,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1463,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1464,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
1465,Postgraduate,Alone,Has child,1 child,Stars,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1466,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1467,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1468,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1469,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1470,Undergraduate,In couple,Has child,2 children,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1471,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1472,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,Emerging customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
1473,Postgraduate,In couple,Has child,2 children,Stars,Adult,High income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
1474,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1475,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1476,Postgraduate,Alone,No child,No child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
1477,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Low consumer,Non consumer
1478,Postgraduate,Alone,No child,No child,Need attention,Young,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1479,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1480,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1481,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1482,Undergraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
1483,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1484,Undergraduate,In couple,Has child,1 child,Stars,Adult,High income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1485,Postgraduate,Alone,Has child,1 child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Low consumer
1486,Postgraduate,In couple,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1487,Postgraduate,In couple,Has child,3 children,High potential,Senior,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
1488,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
