,Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster
1137,52,Postgraduate,Alone,85696.0,1313,17.3,No child,No child,714,76,395,116,0,12,Stars
1138,25,Postgraduate,Alone,10979.0,30,4.5,No child,No child,8,4,10,2,2,4,Need attention
1139,53,Postgraduate,In couple,49678.0,315,20.3,Has child,1 child,229,5,56,3,2,20,Leaky bucket
1140,61,Postgraduate,In couple,56129.0,660,15.7,Has child,1 child,320,48,133,39,72,48,Stars
1141,25,Postgraduate,In couple,37155.0,74,20.366666666666667,Has child,1 child,23,0,26,7,15,3,Leaky bucket
1142,36,Undergraduate,Alone,21282.0,46,4.866666666666666,Has child,1 child,1,5,8,4,8,20,Need attention
1143,52,Postgraduate,Alone,33419.0,86,13.766666666666667,Has child,1 child,56,0,12,0,0,18,Need attention
1144,69,Postgraduate,Alone,63285.0,1103,11.1,No child,No child,508,124,249,50,38,134,High potential
1145,40,Postgraduate,In couple,21255.0,61,8.533333333333333,Has child,1 child,29,0,25,2,2,3,Need attention
1146,33,Postgraduate,In couple,42162.0,145,10.633333333333333,Has child,1 child,46,7,59,2,4,27,Need attention
1147,58,Postgraduate,In couple,54450.0,684,25.0,Has child,2 children,454,0,171,8,19,32,Stars
1148,60,Postgraduate,In couple,57744.0,411,10.866666666666667,Has child,1 child,350,3,39,0,0,19,Need attention
1149,28,Postgraduate,Alone,26576.0,27,24.033333333333335,Has child,1 child,10,0,8,0,0,9,Leaky bucket
1150,71,Postgraduate,Alone,57513.0,1060,15.166666666666666,No child,No child,735,40,183,52,20,30,Stars
1151,50,Postgraduate,In couple,68142.0,1459,25.533333333333335,Has child,1 child,897,126,196,91,112,37,Stars
1152,35,Postgraduate,In couple,7500.0,18,25.533333333333335,Has child,1 child,5,2,3,3,0,5,Leaky bucket
1153,40,Postgraduate,In couple,83145.0,1833,24.733333333333334,No child,No child,777,35,731,39,137,114,Stars
1154,54,Postgraduate,In couple,54197.0,237,6.133333333333334,Has child,1 child,162,6,37,6,13,13,Need attention
1155,51,Postgraduate,Alone,23091.0,48,4.3,Has child,2 children,35,0,11,0,0,2,Need attention
1156,38,Postgraduate,In couple,46049.0,515,14.666666666666666,Has child,2 children,342,9,112,19,14,19,Need attention
1157,40,Postgraduate,In couple,56715.0,1020,22.266666666666666,No child,No child,258,105,239,237,172,9,Stars
1158,53,Postgraduate,In couple,79410.0,1370,4.266666666666667,No child,No child,658,80,483,123,13,13,High potential
1159,63,Postgraduate,In couple,57304.0,1026,19.066666666666666,Has child,1 child,356,80,329,138,17,106,Stars
1160,49,Postgraduate,In couple,44375.0,301,6.5,Has child,1 child,213,5,28,7,7,41,Need attention
1161,58,Postgraduate,In couple,54450.0,684,25.0,Has child,2 children,454,0,171,8,19,32,Stars
1162,49,Postgraduate,In couple,59594.0,499,23.8,Has child,1 child,457,4,29,0,0,9,Stars
1163,20,Postgraduate,In couple,80685.0,1004,25.766666666666666,No child,No child,241,45,604,34,26,54,Stars
1164,40,Postgraduate,In couple,40344.0,218,11.866666666666667,Has child,1 child,210,0,6,0,0,2,Need attention
1165,42,Postgraduate,In couple,62710.0,606,16.633333333333333,Has child,1 child,441,35,83,7,29,11,Stars
1166,46,Undergraduate,In couple,48985.0,75,15.2,Has child,1 child,19,13,18,10,7,8,Need attention
1167,46,Postgraduate,In couple,35322.0,106,25.766666666666666,Has child,3 children,28,9,37,12,7,13,Leaky bucket
1168,66,Postgraduate,In couple,77142.0,990,16.433333333333334,No child,No child,476,75,162,29,151,97,Stars
1169,45,Postgraduate,Alone,81657.0,1097,8.5,No child,No child,364,40,425,158,60,50,High potential
1170,18,Undergraduate,In couple,14421.0,16,7.633333333333334,No child,No child,0,0,2,3,3,8,Need attention
1171,40,Undergraduate,In couple,20130.0,34,6.7,No child,No child,0,6,3,7,6,12,Need attention
1172,24,Postgraduate,In couple,74214.0,1711,25.633333333333333,No child,No child,863,83,547,86,99,33,Stars
1173,57,Postgraduate,In couple,66726.0,438,8.833333333333334,Has child,2 children,349,7,35,0,0,47,High potential
1174,35,Undergraduate,In couple,23724.0,75,21.133333333333333,Has child,1 child,5,23,15,0,18,14,Leaky bucket
1175,54,Postgraduate,In couple,47353.0,225,10.833333333333334,Has child,1 child,184,2,19,8,8,4,Need attention
1176,62,Postgraduate,In couple,33444.0,18,23.333333333333332,Has child,2 children,8,0,8,0,0,2,Leaky bucket
1177,33,Postgraduate,In couple,54386.0,470,16.833333333333332,Has child,1 child,277,21,64,62,21,25,Leaky bucket
1178,33,Postgraduate,Alone,28510.0,91,17.966666666666665,Has child,2 children,44,5,19,0,4,19,Leaky bucket
1179,23,Postgraduate,Alone,90638.0,2525,7.766666666666667,No child,No child,1156,120,915,94,144,96,High potential
1180,64,Postgraduate,In couple,48070.0,504,20.966666666666665,Has child,1 child,373,14,83,6,9,19,Leaky bucket
1181,57,Postgraduate,In couple,43140.0,235,21.233333333333334,Has child,1 child,134,8,76,6,0,11,Leaky bucket
1182,53,Postgraduate,Alone,54959.0,1232,20.766666666666666,Has child,1 child,1148,0,60,0,0,24,Stars
1183,56,Undergraduate,Alone,15056.0,88,17.3,Has child,2 children,6,12,3,21,6,40,Leaky bucket
1184,43,Postgraduate,Alone,26954.0,17,4.966666666666667,Has child,1 child,4,1,11,0,0,1,Need attention
1185,29,Postgraduate,Alone,22327.0,24,14.266666666666667,Has child,1 child,5,4,8,2,0,5,Need attention
1186,49,Postgraduate,In couple,44393.0,60,13.6,Has child,2 children,24,2,20,2,2,10,Need attention
1187,62,Postgraduate,Alone,62000.0,1020,13.5,Has child,1 child,899,0,101,0,0,20,High potential
1188,52,Postgraduate,In couple,31497.0,155,22.233333333333334,Has child,1 child,108,1,28,13,1,4,Leaky bucket
1189,40,Undergraduate,In couple,45894.0,51,7.3,Has child,2 children,27,2,7,0,2,13,Need attention
1190,44,Postgraduate,Alone,78579.0,1812,21.7,No child,No child,816,66,549,216,66,99,Stars
1191,45,Postgraduate,Alone,67369.0,1461,22.866666666666667,Has child,1 child,1298,0,70,37,14,42,Stars
1192,54,Postgraduate,Alone,58401.0,96,5.566666666666666,Has child,1 child,10,0,11,17,29,29,Need attention
1193,62,Postgraduate,Alone,62307.0,160,7.633333333333334,Has child,1 child,87,13,34,10,6,10,Need attention
1194,45,Postgraduate,In couple,43641.0,139,17.666666666666668,Has child,2 children,57,2,51,4,2,23,Leaky bucket
1195,46,Postgraduate,Alone,63841.0,908,17.7,Has child,1 child,635,15,100,20,7,131,Stars
1196,49,Undergraduate,In couple,46891.0,183,13.266666666666667,Has child,1 child,43,12,23,29,15,61,Need attention
1197,45,Postgraduate,In couple,70091.0,1161,18.4,Has child,1 child,964,34,137,15,0,11,Stars
1198,42,Postgraduate,In couple,78075.0,988,6.066666666666666,No child,No child,572,8,259,34,35,80,High potential
1199,53,Undergraduate,Alone,59184.0,1072,25.166666666666668,Has child,1 child,341,142,113,259,151,66,Stars
1200,37,Postgraduate,In couple,54809.0,174,12.933333333333334,Has child,2 children,63,6,57,13,13,22,Need attention
1201,55,Postgraduate,In couple,58113.0,758,20.566666666666666,Has child,1 child,221,104,169,102,78,84,Stars
1202,56,Postgraduate,In couple,51412.0,195,9.233333333333333,Has child,1 child,140,3,29,4,5,14,Need attention
1203,35,Postgraduate,Alone,15287.0,31,24.133333333333333,Has child,1 child,1,2,8,4,3,13,Leaky bucket
1204,57,Postgraduate,In couple,66636.0,1084,13.766666666666667,No child,No child,291,10,689,84,10,0,High potential
1205,58,Postgraduate,In couple,50965.0,685,19.7,Has child,1 child,544,13,85,8,6,29,Stars
1206,49,Postgraduate,In couple,84618.0,1672,10.533333333333333,No child,No child,684,100,801,21,66,0,High potential
1207,24,Postgraduate,In couple,18351.0,43,11.333333333333334,No child,No child,1,12,9,0,14,7,Need attention
1208,57,Postgraduate,In couple,40451.0,49,7.666666666666667,Has child,2 children,35,0,4,0,0,10,Need attention
1209,49,Postgraduate,In couple,36317.0,133,16.666666666666668,Has child,1 child,87,3,25,3,2,13,Leaky bucket
1210,57,Postgraduate,In couple,42213.0,363,11.9,Has child,1 child,309,3,24,4,3,20,Need attention
1211,59,Postgraduate,In couple,65748.0,545,17.9,Has child,1 child,172,73,93,95,78,34,Stars
1212,42,Postgraduate,In couple,77044.0,1065,11.4,Has child,1 child,625,38,242,50,34,76,High potential
1213,45,Postgraduate,In couple,74918.0,2047,19.033333333333335,No child,No child,972,59,913,25,19,59,Stars
1214,42,Postgraduate,In couple,56721.0,296,23.433333333333334,Has child,2 children,157,6,39,6,13,75,Leaky bucket
1215,39,Postgraduate,Alone,42160.0,140,15.433333333333334,Has child,2 children,48,9,45,3,15,20,Leaky bucket
1216,49,Postgraduate,Alone,61559.0,530,14.8,Has child,1 child,279,83,88,32,14,34,High potential
1217,51,Postgraduate,In couple,33629.0,152,26.233333333333334,Has child,2 children,132,0,16,0,0,4,Leaky bucket
1218,23,Postgraduate,In couple,68682.0,1598,12.1,No child,No child,919,0,505,99,30,45,High potential
1219,51,Postgraduate,Alone,34377.0,114,20.766666666666666,Has child,1 child,62,0,22,3,1,26,Leaky bucket
1220,28,Undergraduate,Alone,8940.0,101,25.766666666666666,Has child,1 child,1,45,3,4,6,42,Leaky bucket
1221,41,Postgraduate,In couple,26228.0,25,12.566666666666666,Has child,1 child,2,6,4,3,1,9,Need attention
1222,57,Undergraduate,Alone,77297.0,789,20.533333333333335,No child,No child,408,61,109,48,122,41,Stars
1223,33,Postgraduate,In couple,40211.0,87,14.366666666666667,Has child,2 children,51,1,7,2,1,25,Need attention
1224,56,Postgraduate,Alone,33438.0,90,12.566666666666666,Has child,2 children,62,1,16,3,2,6,Need attention
1225,55,Postgraduate,In couple,75032.0,1215,17.466666666666665,Has child,1 child,952,12,180,47,12,12,Stars
1226,59,Postgraduate,Alone,61284.0,811,11.9,No child,No child,618,15,106,20,7,45,High potential
1227,28,Postgraduate,In couple,22518.0,61,23.733333333333334,Has child,1 child,11,7,12,2,2,27,Leaky bucket
1228,39,Postgraduate,In couple,54730.0,405,13.833333333333334,Has child,1 child,318,3,17,4,7,56,Need attention
1229,59,Postgraduate,In couple,38452.0,72,6.266666666666667,Has child,2 children,56,0,14,0,0,2,Need attention
1230,43,Postgraduate,Alone,44421.0,189,19.866666666666667,Has child,2 children,110,5,59,7,1,7,Leaky bucket
1231,28,Postgraduate,In couple,38197.0,40,15.4,Has child,1 child,23,0,11,2,1,3,Leaky bucket
1232,36,Postgraduate,Alone,41986.0,63,7.9,Has child,1 child,27,5,8,8,3,12,Need attention
1233,31,Postgraduate,In couple,28427.0,52,18.733333333333334,Has child,1 child,18,3,19,3,3,6,Leaky bucket
1234,38,Postgraduate,In couple,37395.0,39,5.166666666666667,Has child,1 child,18,0,9,0,1,11,Need attention
1235,43,Postgraduate,In couple,64722.0,805,4.366666666666666,Has child,1 child,303,0,280,60,147,15,High potential
1236,58,Postgraduate,In couple,55249.0,130,5.666666666666667,Has child,1 child,97,1,19,2,0,11,Need attention
1237,42,Postgraduate,In couple,84906.0,1631,12.166666666666666,No child,No child,997,15,414,99,30,76,High potential
1238,25,Postgraduate,In couple,28691.0,34,15.233333333333333,Has child,1 child,5,4,13,8,0,4,Leaky bucket
1239,62,Postgraduate,Alone,44213.0,152,10.3,Has child,2 children,95,11,35,0,4,7,Need attention
1240,30,Undergraduate,Alone,25707.0,21,8.633333333333333,Has child,1 child,1,6,2,3,6,3,Need attention
1241,47,Postgraduate,In couple,59062.0,71,12.2,Has child,3 children,46,1,12,3,0,9,Need attention
1242,52,Postgraduate,Alone,76624.0,899,4.433333333333334,Has child,1 child,411,106,147,54,115,66,High potential
1243,67,Postgraduate,In couple,66000.0,711,5.566666666666666,No child,No child,244,51,270,101,0,45,High potential
1244,36,Postgraduate,In couple,27683.0,351,26.366666666666667,Has child,1 child,152,9,121,12,12,45,Leaky bucket
1245,43,Postgraduate,Alone,1730.0,8,4.633333333333334,No child,No child,1,1,3,1,1,1,Need attention
1246,22,Undergraduate,Alone,7500.0,119,22.333333333333332,Has child,1 child,10,17,18,8,26,40,Leaky bucket
1247,46,Postgraduate,In couple,40521.0,21,18.233333333333334,Has child,2 children,12,0,5,0,0,4,Leaky bucket
1248,41,Postgraduate,In couple,20427.0,10,6.466666666666667,Has child,1 child,5,0,4,0,0,1,Need attention
1249,39,Postgraduate,In couple,65106.0,973,4.433333333333334,Has child,1 child,790,19,133,12,0,19,High potential
1250,49,Postgraduate,In couple,69969.0,1536,13.433333333333334,No child,No child,882,29,514,38,29,44,High potential
1251,62,Postgraduate,In couple,67433.0,992,14.833333333333334,Has child,2 children,615,28,259,12,48,30,High potential
1252,47,Postgraduate,In couple,77766.0,1529,19.633333333333333,Has child,1 child,1004,59,265,115,59,27,Stars
1253,42,Postgraduate,In couple,74716.0,860,12.9,Has child,1 child,133,27,421,13,195,71,High potential
1254,51,Postgraduate,Alone,68118.0,928,11.7,Has child,1 child,595,23,123,10,23,154,High potential
1255,44,Postgraduate,In couple,55158.0,418,26.533333333333335,Has child,2 children,293,0,87,4,11,23,Leaky bucket
1256,59,Undergraduate,In couple,62972.0,587,26.4,Has child,1 child,313,15,47,20,0,192,Stars
1257,39,Postgraduate,In couple,74190.0,641,4.833333333333333,Has child,1 child,151,81,86,168,91,64,High potential
1258,38,Postgraduate,In couple,39356.0,23,6.633333333333334,Has child,2 children,15,0,2,0,0,6,Need attention
1259,45,Postgraduate,In couple,76653.0,2279,13.8,No child,No child,736,63,946,219,189,126,Stars
1260,41,Postgraduate,Alone,35860.0,49,4.6,Has child,2 children,15,0,8,4,2,20,Need attention
1261,31,Postgraduate,Alone,90687.0,1779,16.666666666666668,No child,No child,982,17,672,23,34,51,Stars
1262,32,Postgraduate,In couple,73450.0,1804,10.1,No child,No child,1142,51,415,90,69,37,High potential
1263,54,Postgraduate,In couple,31454.0,48,15.166666666666666,Has child,2 children,28,0,11,0,0,9,Leaky bucket
1264,62,Postgraduate,Alone,47139.0,83,7.066666666666666,Has child,2 children,46,0,12,0,2,23,Need attention
1265,39,Postgraduate,Alone,83829.0,1862,12.033333333333333,No child,No child,897,161,430,186,161,27,High potential
1266,51,Postgraduate,In couple,53378.0,793,24.666666666666668,Has child,2 children,489,6,152,8,6,132,Stars
1267,44,Postgraduate,In couple,19656.0,84,20.1,Has child,1 child,25,4,9,6,8,32,Leaky bucket
1268,66,Postgraduate,In couple,45579.0,183,13.666666666666666,Has child,1 child,145,1,33,2,1,1,Need attention
1269,56,Undergraduate,Alone,85485.0,1383,3.5,No child,No child,630,26,611,44,18,54,High potential
1270,70,Postgraduate,In couple,55956.0,999,6.0,No child,No child,760,38,104,50,9,38,High potential
1271,51,Postgraduate,Alone,64191.0,825,20.666666666666668,Has child,1 child,420,15,186,151,38,15,Stars
1272,42,Postgraduate,Alone,38808.0,246,25.633333333333333,Has child,1 child,125,17,52,3,19,30,Leaky bucket
1273,48,Postgraduate,In couple,57183.0,610,18.8,Has child,2 children,464,5,64,7,0,70,Stars
1274,46,Postgraduate,Alone,23748.0,76,22.733333333333334,Has child,1 child,6,6,29,12,15,8,Leaky bucket
1275,43,Postgraduate,In couple,66303.0,1286,19.5,Has child,1 child,1090,12,96,16,12,60,Stars
1276,39,Postgraduate,In couple,37368.0,30,9.733333333333333,Has child,1 child,3,2,11,2,2,10,Need attention
1277,50,Postgraduate,In couple,40800.0,99,21.366666666666667,Has child,3 children,24,0,27,8,30,10,Leaky bucket
1278,36,Postgraduate,Alone,71847.0,1192,24.766666666666666,No child,No child,737,21,106,55,63,210,Stars
1279,39,Postgraduate,In couple,46149.0,362,10.3,Has child,1 child,254,6,71,4,0,27,Need attention
1280,31,Postgraduate,In couple,78687.0,2130,26.2,No child,No child,817,185,687,145,55,241,Stars
1281,43,Undergraduate,Alone,49118.0,1229,25.9,No child,No child,620,54,239,99,98,119,Stars
1282,57,Postgraduate,In couple,37633.0,38,24.8,Has child,2 children,13,4,20,0,0,1,Leaky bucket
1283,63,Postgraduate,In couple,39767.0,485,14.666666666666666,No child,No child,113,61,204,34,26,47,Need attention
1284,63,Undergraduate,In couple,26997.0,434,23.266666666666666,No child,No child,7,23,78,133,49,144,Leaky bucket
1285,44,Postgraduate,Alone,33986.0,44,18.966666666666665,Has child,1 child,16,2,18,2,1,5,Leaky bucket
1286,42,Postgraduate,In couple,57091.0,496,22.666666666666668,Has child,1 child,462,0,24,6,0,4,Leaky bucket
1287,45,Undergraduate,In couple,46831.0,78,16.1,Has child,2 children,22,2,10,6,4,34,Leaky bucket
1288,42,Postgraduate,In couple,83151.0,2346,20.033333333333335,No child,No child,968,147,842,137,42,210,Stars
1289,43,Postgraduate,In couple,52531.0,794,21.433333333333334,No child,No child,283,112,151,51,72,125,Stars
1290,58,Postgraduate,In couple,15759.0,17,13.133333333333333,No child,No child,1,2,5,6,0,3,Need attention
1291,43,Postgraduate,Alone,22804.0,26,14.333333333333334,Has child,1 child,14,1,7,2,1,1,Need attention
1292,41,Undergraduate,In couple,43050.0,76,6.666666666666667,Has child,1 child,30,5,24,6,3,8,Need attention
1293,37,Postgraduate,Alone,42997.0,15,10.033333333333333,Has child,2 children,4,0,5,0,1,5,Need attention
1294,51,Postgraduate,Alone,48918.0,62,5.833333333333333,Has child,2 children,52,0,9,0,0,1,Need attention
1295,60,Postgraduate,In couple,60033.0,198,6.3,Has child,1 child,62,1,57,19,11,48,Need attention
1296,36,Postgraduate,In couple,34043.0,49,11.466666666666667,Has child,1 child,20,2,14,3,0,10,Need attention
1297,48,Postgraduate,In couple,57811.0,802,15.566666666666666,Has child,1 child,545,7,114,37,21,78,Stars
1298,68,Postgraduate,In couple,78569.0,1736,7.566666666666666,No child,No child,558,79,622,207,175,95,High potential
1299,36,Postgraduate,Alone,7500.0,57,21.533333333333335,Has child,2 children,6,5,4,13,4,25,Leaky bucket
1300,43,Postgraduate,In couple,157733.0,59,16.233333333333334,Has child,1 child,39,1,9,2,0,8,High potential
1301,61,Postgraduate,In couple,94384.0,2302,19.3,No child,No child,1111,24,790,160,45,172,Stars
1302,29,Undergraduate,In couple,23148.0,37,7.6,No child,No child,4,6,8,6,3,10,Need attention
1303,44,Postgraduate,Alone,44267.0,310,19.533333333333335,Has child,2 children,183,5,65,3,5,49,Leaky bucket
1304,35,Postgraduate,In couple,71626.0,1305,23.4,No child,No child,546,72,376,94,145,72,Stars
1305,48,Postgraduate,In couple,60894.0,832,15.433333333333334,Has child,1 child,606,7,155,10,0,54,Stars
1306,38,Postgraduate,In couple,50200.0,401,18.3,Has child,2 children,266,6,51,8,6,64,Leaky bucket
1307,49,Postgraduate,In couple,81051.0,1501,4.466666666666667,No child,No child,1142,29,249,38,29,14,High potential
1308,32,Postgraduate,In couple,65169.0,1189,8.766666666666667,No child,No child,1074,0,69,0,0,46,High potential
1309,42,Postgraduate,In couple,59868.0,1194,14.633333333333333,Has child,1 child,771,51,154,54,10,154,Stars
1310,54,Postgraduate,In couple,65695.0,656,8.2,Has child,1 child,371,32,189,0,58,6,High potential
1311,58,Postgraduate,Alone,64857.0,1540,22.666666666666668,No child,No child,556,14,717,210,0,43,Stars
1312,49,Postgraduate,In couple,45143.0,311,13.466666666666667,Has child,1 child,202,5,74,11,5,14,Need attention
1313,59,Undergraduate,In couple,74805.0,820,11.066666666666666,Has child,1 child,209,162,209,41,162,37,High potential
1314,25,Undergraduate,In couple,59060.0,274,8.866666666666667,Has child,1 child,35,40,111,36,40,12,Need attention
1315,52,Postgraduate,Alone,27238.0,57,17.733333333333334,Has child,2 children,37,0,17,0,0,3,Leaky bucket
1316,49,Postgraduate,In couple,47009.0,448,12.266666666666667,Has child,1 child,171,45,73,59,10,90,Need attention
1317,41,Undergraduate,In couple,46094.0,44,3.8666666666666667,Has child,2 children,12,2,20,3,2,5,Need attention
1318,42,Postgraduate,In couple,40321.0,102,14.4,Has child,2 children,44,4,21,6,0,27,Need attention
1319,30,Postgraduate,In couple,37235.0,61,8.166666666666666,Has child,1 child,20,2,9,4,6,20,Need attention
1320,54,Postgraduate,In couple,81843.0,1643,17.666666666666668,No child,No child,779,86,537,34,69,138,Stars
1321,56,Postgraduate,In couple,46692.0,397,16.166666666666668,Has child,1 child,170,6,97,24,12,88,Leaky bucket
1322,46,Postgraduate,In couple,77382.0,1121,9.0,Has child,1 child,491,48,231,112,105,134,High potential
1323,37,Postgraduate,Alone,37774.0,473,25.366666666666667,Has child,2 children,173,8,107,7,2,176,Leaky bucket
1324,40,Undergraduate,In couple,18393.0,50,6.3,Has child,1 child,7,10,13,16,0,4,Need attention
1325,52,Postgraduate,In couple,72828.0,1678,19.9,Has child,1 child,1205,0,235,19,14,205,Stars
1326,32,Postgraduate,In couple,24711.0,58,5.633333333333334,No child,No child,10,7,25,6,3,7,Need attention
1327,39,Postgraduate,In couple,45503.0,170,12.466666666666667,Has child,1 child,97,4,44,6,1,18,Need attention
1328,32,Postgraduate,Alone,6560.0,373,9.866666666666667,No child,No child,67,11,26,4,3,262,Need attention
1329,69,Postgraduate,In couple,71604.0,1196,10.7,No child,No child,345,53,528,98,75,97,High potential
1330,35,Postgraduate,In couple,27244.0,101,7.033333333333333,Has child,1 child,6,5,17,3,24,46,Need attention
1331,45,Postgraduate,In couple,48752.0,316,22.033333333333335,Has child,2 children,73,57,100,71,15,0,Leaky bucket
1332,52,Postgraduate,In couple,71434.0,1400,12.7,Has child,1 child,711,36,217,172,96,168,High potential
1333,66,Postgraduate,Alone,90842.0,1424,14.4,No child,No child,774,70,118,182,187,93,High potential
1334,36,Postgraduate,In couple,88097.0,844,25.9,Has child,1 child,163,0,480,0,126,75,Stars
1335,39,Postgraduate,In couple,51948.0,311,12.733333333333333,Has child,1 child,82,33,54,71,30,41,Need attention
1336,32,Postgraduate,In couple,71853.0,1149,17.133333333333333,No child,No child,358,108,413,141,97,32,Stars
1337,31,Postgraduate,In couple,35876.0,129,5.566666666666666,No child,No child,66,2,40,4,3,14,Need attention
1338,62,Postgraduate,Alone,40049.0,32,11.766666666666667,Has child,1 child,13,6,7,0,3,3,Need attention
1339,32,Postgraduate,Alone,39660.0,299,26.233333333333334,Has child,1 child,139,13,78,20,13,36,Leaky bucket
1340,52,Postgraduate,In couple,50127.0,320,4.266666666666667,Has child,1 child,274,0,21,4,6,15,Need attention
1341,37,Postgraduate,In couple,43263.0,441,22.733333333333334,Has child,1 child,262,6,61,0,10,102,Leaky bucket
1342,65,Postgraduate,In couple,62845.0,1178,24.433333333333334,Has child,2 children,1099,0,45,0,0,34,Stars
1343,24,Postgraduate,In couple,18929.0,85,19.833333333333332,No child,No child,32,0,8,23,4,18,Leaky bucket
1344,32,Undergraduate,Alone,24367.0,24,18.766666666666666,Has child,1 child,2,4,2,0,11,5,Leaky bucket
1345,39,Postgraduate,Alone,33249.0,112,19.7,Has child,1 child,6,10,21,19,14,42,Leaky bucket
1346,55,Undergraduate,In couple,26887.0,30,20.033333333333335,Has child,1 child,6,7,4,3,4,6,Leaky bucket
1347,31,Postgraduate,In couple,50150.0,410,15.7,No child,No child,135,46,92,65,61,11,Leaky bucket
1348,38,Postgraduate,In couple,62061.0,800,13.3,Has child,1 child,641,7,84,0,30,38,High potential
1349,52,Postgraduate,Alone,85696.0,1313,17.3,No child,No child,714,76,395,116,0,12,Stars
1350,58,Postgraduate,In couple,76542.0,1483,18.433333333333334,No child,No child,794,73,573,0,29,14,Stars
1351,21,Postgraduate,Alone,70515.0,1258,11.6,No child,No child,420,0,452,182,64,140,High potential
1352,27,Postgraduate,In couple,18227.0,28,23.166666666666668,Has child,1 child,1,2,7,4,3,11,Leaky bucket
1353,49,Postgraduate,In couple,69139.0,227,8.333333333333334,Has child,1 child,86,12,75,33,15,6,High potential
1354,32,Postgraduate,In couple,69109.0,1555,23.133333333333333,No child,No child,823,25,459,124,29,95,Stars
1355,52,Postgraduate,Alone,69627.0,861,18.866666666666667,Has child,1 child,231,161,215,171,30,53,Stars
1356,36,Postgraduate,In couple,38136.0,103,17.666666666666668,Has child,1 child,8,15,27,0,20,33,Leaky bucket
1357,68,Postgraduate,Alone,62159.0,634,5.3,No child,No child,182,17,259,77,70,29,High potential
1358,51,Postgraduate,Alone,80695.0,1918,9.3,No child,No child,557,129,984,193,37,18,High potential
1359,43,Postgraduate,Alone,33316.0,131,12.166666666666666,Has child,2 children,79,1,31,4,4,12,Need attention
1360,46,Postgraduate,In couple,58554.0,586,24.6,Has child,2 children,368,24,68,38,0,88,Stars
1361,22,Undergraduate,In couple,17256.0,62,10.5,Has child,1 child,6,4,14,8,8,22,Need attention
1362,40,Postgraduate,Alone,53034.0,447,16.4,Has child,2 children,160,15,196,15,11,50,Leaky bucket
1363,64,Undergraduate,In couple,52203.0,939,26.5,No child,No child,488,21,238,56,108,28,Stars
1364,37,Undergraduate,Alone,59601.0,797,14.533333333333333,Has child,1 child,691,7,69,0,7,23,High potential
1365,56,Postgraduate,Alone,75154.0,1143,25.333333333333332,Has child,1 child,543,10,205,160,143,82,Stars
1366,38,Postgraduate,Alone,47025.0,415,11.033333333333333,Has child,1 child,254,7,108,20,0,26,Need attention
1367,41,Postgraduate,In couple,37971.0,30,10.433333333333334,Has child,1 child,5,4,10,2,2,7,Need attention
1368,46,Postgraduate,Alone,41335.0,187,9.4,Has child,1 child,112,19,21,16,14,5,Need attention
1369,56,Postgraduate,In couple,67267.0,251,4.8,Has child,1 child,134,11,59,15,2,30,High potential
1370,39,Postgraduate,Alone,57338.0,237,5.266666666666667,Has child,1 child,143,6,52,11,8,17,Need attention
1371,54,Undergraduate,In couple,50523.0,91,9.433333333333334,Has child,2 children,51,4,24,4,7,1,Need attention
1372,49,Postgraduate,Alone,35791.0,35,17.2,Has child,3 children,27,0,5,0,0,3,Leaky bucket
1373,54,Postgraduate,Alone,50611.0,493,24.333333333333332,Has child,1 child,459,0,24,6,0,4,Leaky bucket
1374,45,Postgraduate,In couple,56242.0,971,19.333333333333332,Has child,1 child,689,8,167,11,8,88,Stars
1375,54,Postgraduate,Alone,48904.0,371,22.366666666666667,Has child,1 child,283,10,38,0,13,27,Leaky bucket
1376,39,Postgraduate,Alone,56243.0,396,9.266666666666667,Has child,3 children,347,0,35,4,3,7,Need attention
1377,29,Postgraduate,In couple,21355.0,68,13.666666666666666,Has child,1 child,5,13,14,0,5,31,Need attention
1378,43,Postgraduate,In couple,57420.0,322,15.533333333333333,Has child,1 child,280,0,18,0,0,24,Leaky bucket
1380,59,Postgraduate,Alone,46390.0,222,5.066666666666666,Has child,1 child,95,14,64,2,9,38,Need attention
1381,58,Undergraduate,In couple,54342.0,177,15.266666666666667,Has child,2 children,84,10,34,11,10,28,Need attention
1384,41,Postgraduate,In couple,20895.0,45,24.266666666666666,Has child,1 child,18,3,17,3,0,4,Leaky bucket
1385,66,Postgraduate,In couple,92344.0,1899,8.733333333333333,No child,No child,992,24,694,51,19,119,High potential
1387,38,Undergraduate,In couple,26907.0,22,13.666666666666666,Has child,2 children,9,1,7,0,3,2,Need attention
1388,34,Postgraduate,In couple,44964.0,41,21.9,Has child,2 children,19,1,17,2,0,2,Leaky bucket
1389,35,Postgraduate,In couple,75507.0,1440,5.166666666666667,No child,No child,709,93,374,104,80,80,High potential
1390,42,Postgraduate,In couple,53761.0,325,11.933333333333334,Has child,2 children,158,0,76,13,7,71,Need attention
1391,41,Postgraduate,In couple,22682.0,95,12.2,Has child,1 child,10,14,29,4,2,36,Need attention
1392,42,Postgraduate,In couple,38887.0,42,7.2,Has child,1 child,25,1,13,0,0,3,Need attention
1393,39,Undergraduate,Alone,41658.0,72,23.133333333333333,Has child,2 children,8,4,12,15,4,29,Leaky bucket
